SDSS ID,Name,RA [deg],DEC [deg],u [mag],g [mag],r [mag],i [mag],z [mag],(b/a)_r,Redshift,Confidence
1237667734496084000,UGC 05535,153.938774513772,18.9460525374165,16.65192,14.91383,14.04717,13.61675,13.31498,0.4765091,0.0216002,0.860288
1237665228376899651,2MASS J11544292+3332148,178.679504666352,33.536766524721,17.963,15.54292,14.76156,14.31466,14.00211,0.2195702,0.03193833,0.857961
1237661069790675120,NGC 3419A,162.833050671006,14.0234368716057,15.78271,14.6941,14.2629,14.04615,13.82549,0.1968586,0.01027332,0.85453
1237661358608613531,UGC 05531,153.928576282489,43.9926557213939,16.89853,14.91174,14.14816,13.73464,13.36966,0.3188165,0.01734238,0.846998
1237664671645368370,2MASS J13364223+3444493,204.175164262903,34.7462644717903,16.47988,14.7064,13.90328,13.46624,13.19178,0.3862806,0.02429371,0.84416
1237662224593977484,2MASS J10211082+3539315,155.294690424505,35.659988926756,23.2182,21.88795,20.78073,20.10524,19.66586,0.2949074,,0.843903
1237655126083043481,NGC 4252,184.628719367531,5.55946726467665,15.6648,14.51649,14.12637,13.87115,13.77744,0.3118936,0.002929823,0.841278
1237662524157526119,2MASS J12412516+1343485,190.356052297212,13.729532509832,15.84911,14.6702,14.04775,13.72574,13.47195,0.2296033,0.02042839,0.839314
1237667142867615779,SDSS J092440.07+250642.6,141.167086366989,25.1101848352002,16.33913,14.57449,13.698,13.22731,12.8847,0.4137682,0.02726743,0.838792
1237667322179616901,2MASS J11425211+2632287,175.717628971514,26.5406929324957,17.25943,15.27838,14.3238,13.82814,13.50253,0.4117681,0.02849769,0.835091
1237674368067895366,UGC 04201,121.177710173928,35.4005619596076,17.53282,15.73042,15.09542,14.75119,14.44926,0.2948002,0.02907353,0.832896
1237660636525559853,CGCG 180-053,138.077189336028,37.6825496892155,17.03556,15.30083,14.49225,14.09791,13.80871,0.410745,0.02383299,0.832523
1237657627898413322,FGC 0751,126.265316925505,32.5026860390258,17.71526,15.821,14.95616,14.5092,14.18108,0.2911988,0.04532201,0.831847
1237661125612339448,WISEA J082459.93+254712.0,126.250517729113,25.7865873548512,17.34739,16.20312,15.58666,15.24686,14.95146,0.213073,0.03074693,0.829381
1237667442972688529,[EKL2017] ECO 6293,189.211289992312,27.2781473640073,17.31868,15.51984,14.66475,14.21108,13.89188,0.329008,0.02203281,0.828285
1237665329320624284,[EKL2017] ECO 6472,198.749346228803,30.9049801888234,17.3511,16.02745,15.56598,15.44565,15.22264,0.2736885,0.02293784,0.825762
1237661357535920289,2MASS J10300940+4407227,157.540050097209,44.1224500135701,16.78736,15.5445,14.86611,14.42734,14.17314,0.3280031,0.02909135,0.824097
1237661433245597768,UGC 09409,219.166259744116,41.1595983342,22.75546,23.3656,24.80193,24.36171,22.8268,0.1727721,,0.823554
1237651754549772467,UGC 07464,185.923261919882,2.96127056403812,16.14737,14.67569,13.8815,13.43218,13.21522,0.263734,0.02512766,0.823413
1237648721752621257,UGC 05195,145.800180149957,0.414171694392402,16.95268,15.33426,14.48336,14.0318,13.62651,0.2380744,0.02524959,0.823137
1237667736112857182,2MASS J11142888+2229264,168.621754223716,22.4898859640113,16.69784,15.5491,14.94615,14.50511,14.35282,0.1572637,0.01761633,0.822345
1237658422475555192,[EKL2017] ECO 4138,149.674020526716,5.26428207197653,17.7756,16.29829,15.77769,15.56055,15.88348,0.2913455,0.01338662,0.820675
1237654400766181503,WISEA J120712.84+655408.7,181.803532541579,65.9023722246396,18.11995,17.02876,16.50003,16.22721,15.89783,0.2239116,0.05556051,0.81956
1237673808122282236,Galaxy not found,130.919545214078,22.0957953232383,23.09869,22.2379,22.31022,22.37933,21.82133,0.8664159,,0.819157
1237662238554652867,CGCG 075-071,218.546290682367,9.04297862614408,17.31732,16.06499,15.44253,15.07159,14.81611,0.3269413,0.05396391,0.818308
1237661433245597765,UGC 09409,219.166427316718,41.160369754954,16.82021,15.08696,14.21661,13.80048,13.37469,0.2295404,0.01779445,0.818141
1237665442065416354,2MFGC 12246,226.863164607768,23.3597713412639,17.90635,16.62288,15.81799,15.3727,14.98811,0.219421,0.08152285,0.817958
1237655123936870491,GALEXASC J123020.81+034426.7,187.586248267026,3.7401646888204,15.92571,14.56082,13.86273,13.49866,13.43445,0.2856885,0.01404586,0.817826
1237667429019353211,WISEA J091726.44+190600.6,139.360913677487,19.1000734324463,18.14869,16.59277,15.9964,15.61212,15.41291,0.1977359,0.04944751,0.813969
1237678596462411973,WISEA J212036.41+011243.4,320.151588216112,1.2123449652535,24.61973,21.8997,16.0728,15.83546,26.9352,0.2914492,0.03340337,0.813923
1237661813340176524,CGCG 066-095,165.285724127532,12.3331803336101,17.09151,15.40432,14.52442,14.0862,13.74267,0.403187,0.03513712,0.813384
1237661126155436101,NGC 2825,139.843495942285,33.7427711128773,16.34133,14.58273,13.82133,13.43011,13.16301,0.4578814,0.02654603,0.812133
1237658491739046053,2MASS J11283102+0906187,172.129344439517,9.10443141869108,17.33791,15.21371,14.47436,14.04585,13.57309,0.1524288,0.02106941,0.811425
1237657190370574600,WISEA J002034.63-002813.2,5.14450500502534,-0.47078267560151,18.04181,17.00595,16.04991,15.52235,15.2464,0.229086,0.07154205,0.811313
1237648720676061404,UGC 04915,139.370820527104,-0.620583235833688,16.61015,15.0463,14.40679,14.06362,13.71922,0.2368411,0.0165755,0.810993
1237667141794201788,WISEA J092935.27+243525.3,142.396864694689,24.590432664074,17.03813,15.66784,14.99904,14.58134,14.37417,0.2360729,0.03044921,0.808639
